What is your gender?,Other,How old are you?,Do you live in London?,How would you describe your ethnicity?,Other,Do you consider yourself to have a disability?,Are you a care experienced person?,Did you hear that the government is planning to cut free travel for under-18s in London?,Do you approve or disapprove the decision to cut free travel for under-18s in London?,How important is free transport in London for you?,How many buses / tubes / trams do you currently take to get to school or college?,How do you get to school or college?,Other,"If you have to pay for transport, will it change how you get to school or college?","If you have to pay for transport, how are you planning to get to school or college?",Other,"If you lose free travel, would this change the college or school you are considering attending?","Please describe what free transport means to you in a word, or words?","“If I lose free travel, I won’t travel out of my area as much unless I have to”","“If I lose free travel, I am worried getting to school/around London is less safe”","“If I lose free travel, I will cycle instead to the places I want to go”","“If I lose free travel, I can still afford to go to the places I want to go to”","“If I lose free travel, I am worried my parents will struggle to make ends meet”","“If I lose free travel, my mental health with suffer”",Museums ,Art galleries,Shopping centres,Parks and green spaces ,Areas outside your local borough or area,Sports clubs,Friends and family ,"Where else would you visit less than you do now, if you had to pay for travel?"
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,Free transport is very important to me so that I can go to my college. I and many other other working class family's can't afford to pay for travel and the plan to ban free travel for under 18s can be devastating,3,5,4,3,5,4,1,1,2,2,2,1,4,Friends and restaurants
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,No,For me a free transport is very important for me because i wouldn't be able to go to school,5,5,4,1,3,1,1,1,2,5,2,2,5,Restaurants
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Three,Train,,No,,,No,Easy and beneficial,2,5,2,5,1,1,5,4,5,5,2,4,5,Restaurants or areas to walk in
Male,,16,Yes,Asian or Asian British - Any other Asian background,,No,Yes,No,Dissaprove,4,Two,Bus,,Yes,Bus,,No,Faster travel,5,4,3,3,3,2,3,3,3,3,3,3,3,
Male,,16,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Bus,,Yes,This means I can get to places without worrying that I need money to get to places,3,3,5,2,5,1,3,3,5,5,5,5,5,Beach
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Three,Bus,,No,,,Yes,A necessity,5,3,1,1,5,2,2,1,2,5,1,1,2,My Church
Male,,17,Yes,Any other White background,,No,No,No,Dissaprove,5,Two,Train,,Yes,Bus,,Yes,I have to travel between 2 campuses so even though I still pay for trains but having free travel on busses is very useful and I need that or else it would be too hard to go to school.,5,3,3,4,5,3,3,3,4,4,2,2,5,"Concerts, beaches and amusement parks"
Male,,16,Yes,Black or Black British – Black Caribbean,,No,Yes,Yes,Dissaprove,4,Two,Bus,,Yes,,carpooling,No,free transport is a very important thing because i know that when ever i may be in danger or in need of getting to my destination urgently i will be able to do so with out cost or hassle.,4,5,3,2,3,1,3,1,3,2,2,4,3,libraries
Male,,16,Yes,Asian or Asian British - Any other Asian background,,Prefer not to say,No,Yes,Dissaprove,4,Two,Bus,,Yes,Walk,,Not sure,it means the world,4,4,3,3,3,1,3,3,5,4,4,3,3,stadiums
Female,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,4,Two,Bus,,Not sure,,,Not sure,Freedom,4,2,1,4,1,4,2,2,3,5,2,1,5,Central London
Male,,17,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Three,Train,,Yes,Bus,,Yes,Stress free,5,5,1,1,5,5,1,1,3,3,3,1,2,School
Male,,17,Yes,Any other White background,,No,No,No,Approve,5,Three,Train,,Yes,Train,,Yes,A lot,5,5,3,1,5,3,5,3,5,5,5,5,5,Different places
Female,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Bus,,Not sure,Very important. It’s not something I have to think about if it’s free.,4,2,1,2,5,2,2,2,1,2,1,2,4,School
Male,,17,Yes,Black or Black British - Any other Black background,,No,No,No,Dissaprove,5,One,Bus,,Yes,Walk,,No,When your given something without a price,3,3,3,3,3,3,3,2,2,5,4,1,3,Far matches
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Bus,,Yes,Free transport means I would not have to bother about the amount of money I would pay to get to any destination,5,3,2,1,5,1,2,2,3,3,3,3,4,Church
Male,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,Allows me to access more opportunities. Stopping Free Travel will stop young people aspiring to do more creative things and experience more in their life especially in London.,5,5,2,3,4,3,2,1,3,5,1,3,5,I’d not go to extra school activities when travel is not paid for. It will also affect schools who count on free travel to take students on trips.
Male,,18,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Walk,,No,Significant,5,1,1,4,1,1,1,1,4,4,1,4,5,Friends outside my local borough
Male,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Three,Bus,,Not sure,,,Not sure,Happiness,5,4,3,3,3,4,1,1,4,3,2,1,4,Central London
Male,,16,Yes,Asian or Asian British – Indian,,No,Prefer not to say,Yes,Dissaprove,5,Two,Bus,,Not sure,,,Not sure,It means I can travel to places without worrying about if I can afford it,4,4,3,2,3,2,1,1,2,2,1,1,4,Visit my friends less
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,Yes,Yes,Dissaprove,5,More than three,Bus,,Yes,Walk,,Yes,Opportunistic,5,4,1,3,3,4,1,1,3,4,1,5,4,Places outside of london
Male,,17,Yes,White British,,No,No,Yes,Dissaprove,5,One,Train,,Yes,Cycle,,Not sure,Independence,4,5,4,2,3,4,2,2,2,4,2,2,3,Library
Male,,16,Yes,White British,,No,Yes,Yes,Dissaprove,4,One,Bus,,Yes,Walk,,Yes,Helps us to be independent,4,3,2,3,2,3,1,1,3,5,2,3,5,My friends in other areas
Male,,18,Yes,Any other White background,,No,Yes,Yes,Dissaprove,5,One,Bus,,Yes,Cycle,,No,"As someone who used public transport from a very young age to socialise, commute to school and work, and visit family, I am very dependent on London transport and more specifically buses. By taking away free transport for under 18s will not only make deprivation worse within London, especially for those who have to commute using multiple buses. The previous general election saw labour promising free public transport travel for under 24s it is disgusting to see the Tori government even think about taking away what has been the norm for many years. Something needs to change ASAP. Austerity will kill us all!!!",5,5,5,3,4,5,1,1,2,4,3,2,4,Central London as the new coming cost would make the trip disgustingly more expensive
Male,,18,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,4,Three,Bus,,Yes,Bus,,Yes,I can get to places with ease,4,3,5,4,4,3,2,3,4,5,4,4,4,Meeting my friends
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,No,,,Not sure,gives freedom to travel without worry,4,1,1,4,3,2,1,1,4,4,2,3,5,Cinemas
Male,,18,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,"Free travel means a lot to me as it helps me get around and my family are in the best position to be paying for things like this, so if I do have to pay we will be at a financial disadvantage",5,5,1,1,5,1,1,1,1,3,1,1,2,"School, work and families within London"
Male,,16,Yes,Mixed - White and Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,Freedoms to travel,5,4,3,1,3,2,2,2,2,3,2,1,3,Central London
Male,,17,Yes,White British,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Walk,,No,"Less stressful, convenient",4,5,3,3,2,4,1,1,1,1,1,1,1,
Male,,16,Yes,White British,,No,Yes,Yes,Dissaprove,4,More than three,Train,,Not sure,,,Yes,My life,4,3,1,3,3,1,5,4,5,3,1,3,5,Going out
Female,,18,Yes,White British,,No,No,Yes,Dissaprove,5,One,Train,,Not sure,,,Not sure,Essential,4,3,2,2,4,3,1,1,5,5,4,1,5,Restaurants
Male,,18,Yes,White British,,No,No,No,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,My life-line,3,5,4,4,5,5,4,2,5,5,2,4,5,Parks
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Train,,Yes,It’s very nice and convenient as I do not have to top up a lot and I don’t have to do it often,4,4,3,3,4,3,1,1,4,2,2,2,2,My friends who are  a bit further out of London also places to eat and other activities
Male,,16,Yes,,Arab,No,Yes,No,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,Free transport is a power that you have to use for a while,5,5,3,3,5,4,3,1,4,5,2,1,4,Shopping centres
Male,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,More than three,Tube,,Yes,,I don’t know yet ,No,Free transport means that my family doesn’t struggle financially every week as free travel saves around £60 per week,4,1,2,1,5,2,1,1,2,4,1,1,4,Anywhere outside walking distance
Male,,18,Yes,Mixed - White and Black Caribbean,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Lifestyle,4,4,3,4,5,4,1,3,1,4,2,4,5,Outside
Female,,16,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,2,One,Walk,,No,,,No,freedom,4,4,5,5,1,1,5,5,5,5,5,5,5,nowhere
Male,,16,Yes,Asian or Asian British – Pakistani,,No,No,No,Don't know,4,Two,Bus,,Not sure,,,No,Free transport means that which children can go anywhere without any hesitation.,3,1,4,5,3,1,4,3,5,5,4,5,5,When I went outside zone 6 the tram cost £0.85 for one way.
Male,,18,Yes,Mixed - White and Black Caribbean,,No,Yes,Yes,Dissaprove,4,Two,Bus,,No,,,Yes,A lot,3,4,2,2,4,1,3,3,2,2,4,2,4,Parks
Male,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Don't know,5,One,Bus,,Yes,Train,,Not sure,Free transport means that you can go on any transport for free without paying a penny I guess,3,4,3,4,3,3,1,1,5,3,4,4,5,Cinema
Female,,18,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,More than three,Bus,,No,,,Yes,Less stressful (I'm on FSM so money is short),5,5,1,1,5,5,1,1,1,1,1,1,2,Events
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,Yes,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,It means I can get to school in time,4,3,3,2,4,2,2,2,2,4,2,2,4,Swimming pool
Male,,17,Yes,Any other White background,,Prefer not to say,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,Not sure,Necessity,4,5,1,2,5,5,2,1,4,3,1,1,2,Not sure
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Tube,,Not sure,access to London without financial stress,5,2,4,3,3,3,1,1,2,3,1,4,2,School
Male,,17,Yes,Asian or Asian British – Pakistani,,No,Yes,No,Dissaprove,5,Two,Bus,,Yes,Cycle,,Yes,useful,5,3,5,2,2,1,1,1,4,4,2,3,2,not far places
Male,,16,Yes,White British,,No,No,No,Dissaprove,5,Three,Train,,Yes,Walk,,Yes,Everything,5,5,1,3,5,2,1,1,3,1,1,3,3,School
Male,,16,Yes,,Latinex or Latino ,No,No,Yes,Dissaprove,4,Three,Bus,,Yes,Walk,,Yes,Free transport for me means that no matter what economic situation I am living at home I will always be capable to attend college.,4,3,4,3,3,1,2,3,4,5,3,4,5,
Male,,17,Yes,Black or Black British - Black African,,No,Yes,Yes,Dissaprove,5,More than three,Train,,Yes,Bus,,Yes,Very essential,5,5,3,3,4,3,1,1,4,3,3,2,2,
Male,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,4,One,Bus,,Yes,Bus,,Yes,"It allows young people to fully experience London without caring about their financial situation, as most people at our age don’t have jobs.",5,4,2,3,2,3,2,2,3,2,1,1,2,I wouldn’t be able to go on spontaneous trips because I’d always have to worry about how much money I’d need to top up and if that runs out then I’m stuck in the middle of nowhere
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,Prefer not to say,Yes,Dissaprove,5,One,Walk,,Yes,,Car ,No,easy and quick,1,3,1,3,3,3,1,1,3,1,3,1,4,Westfield
Male,,17,Yes,Any other White background,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Cycle,,Not sure,Ensures that I can get to school on time and ready to learn,5,5,5,3,4,2,1,1,4,3,4,3,3,Central London
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Walk,,Not sure,,3,3,2,1,2,2,1,1,4,4,4,3,3,Places on train
Male,,18,Yes,Black or Black British – Black Caribbean,,No,Prefer not to say,No,Dissaprove,5,One,Bus,,Not sure,,,No,It means a lot to us young students going to school or college,3,5,3,3,4,4,3,3,4,4,4,4,4,Not sure
Male,,16,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,It means the difference between a course that I can give 100% of my time and effort towards and having to do something else because it's closer.,4,3,1,1,3,2,1,2,2,2,1,1,2,College
Male,,17,Yes,Asian or Asian British - Any other Asian background,,No,Yes,No,Dissaprove,5,Two,Bus,,Yes,,Car,Yes,Free transport is very important,5,5,2,1,5,5,1,1,1,1,1,1,1,School
Female,,16,Yes,Asian or Asian British – Pakistani,,No,No,Yes,Dissaprove,4,One,Bus,,No,,,Not sure,Free transport means that i can save the money that will be given to me to put in the travell card and i can buy more needed stuff with that money also free travelling is less stressfull as a student sometimes we dont have money as we are not a working person sowe dont need to worry about travel or how we gonna go to school by bus,5,4,2,3,2,1,2,2,4,2,4,2,3,To library
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,"As i get older, having free transport is one of the few things which remind me that i am still a child, before the crashing wave of adulthood suddenly hits me in a few years. It means that i can travel wherever i want with my friends, without having to always worry how much the journey will cost. Furthermore, just like many people my age, i am unemployed, and not all of us come from the most privileged backgrounds, so revoking our free travel is a good as taking away one of our human rights.",5,3,4,4,3,4,1,1,4,4,4,1,5,The library
Male,,18,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,Two,Bus,,Not sure,,,Not sure,Freedom,4,3,3,2,4,3,2,2,3,3,3,4,5,Inner London
Male,,16,Yes,Chinese,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,"Give us a chance to travel to colleges / schools that are away from our area. Especially if us teenagers want to have a break and leave the area, even if it means for only 7 hours of the day",5,4,2,2,4,2,1,2,4,4,2,4,4,Family that lives outside of London
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,No,,,Yes,life-saving,4,3,1,2,5,4,1,1,3,3,2,2,2,no where
Male,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,Essential,4,4,2,2,3,3,1,1,2,4,2,2,3,Central London
Prefer not to say,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,Generous,3,4,2,3,5,3,2,2,4,4,4,3,4,Hospital for emergency
Male,,18,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Walk,,Yes,Walk,,No,it means so much being able to go out and help my parents with their stuff. And travel cost is another burden on top,5,3,3,2,4,2,1,3,2,2,2,2,3,Parks.. family friends house
Male,,17,Yes,Black or Black British – Black Caribbean,,No,No,No,Dissaprove,4,Two,Train,,Yes,Walk,,Yes,"I'm not really sure to be honest, but it really does not make any sense to make children pay for travel",5,3,2,3,3,3,1,1,3,3,3,3,4,Cinemas?
Male,,18,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Three,Train,,Yes,Train,,Yes,Lateness,5,5,1,2,4,2,1,1,1,2,1,3,1,Friends house
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Cycle,,No,It means a lot,5,5,5,4,5,3,1,1,4,5,5,3,5,
Male,,16,No,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Three,Bus,,Not sure,,,Not sure,It allows my mum to spend money on other necessities,5,4,1,3,4,2,1,1,3,3,3,3,4,Extra activities
Female,,16,Yes,Black or Black British – Black Caribbean,,Prefer not to say,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,It means I’m not confined to places it means I’m free too explore the place I leibe,3,4,1,1,4,3,3,2,2,2,2,2,3,My church
Male,,18,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Three,Train,,Not sure,,,Yes,Free transport allows my mum to not pay everyday for transport as she cant financially do so,3,4,1,3,4,3,2,2,3,4,3,3,3,Central london places
Male,,16,Yes,White British,,Yes,No,Yes,Dissaprove,5,More than three,Train,,Yes,Bus,,No,Amazing,1,1,1,1,1,1,5,5,5,5,5,1,5,Any where
Male,,16,Yes,Asian or Asian British - Any other Asian background,,No,Yes,No,Dissaprove,5,Two,Train,,Yes,Walk,,Not sure,Life saver,3,3,3,3,4,1,1,1,4,4,4,4,4,School
Male,,17,Yes,Asian or Asian British - Any other Asian background,,No,No,Yes,Dissaprove,5,Three,Bus,,Not sure,,,No,Freedom,5,3,2,2,4,2,1,1,2,3,1,2,3,"Cinemas, restaurants, volunteering job"
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,Faster travel,5,5,2,3,5,5,1,1,4,4,2,1,3,Library
Male,,16,Yes,White British,,No,Yes,No,Dissaprove,5,One,Bus,,Yes,Cycle,,No,Free transportation,5,4,3,3,1,2,1,1,4,4,4,3,4,Museum
Male,,17,Yes,Asian or Asian British – Indian,,No,Yes,No,Dissaprove,5,Three,Train,,Yes,Train,,Yes,FREE,5,5,3,3,5,3,4,2,4,2,4,3,4,not sure
Male,,16,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,4,One,Bus,,Not sure,,,No,,2,1,4,5,1,1,2,4,5,4,4,3,5,
Female,,17,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Free transport to me means that I am able to get around to school and London in general easily without any trouble of a pay fee.,4,4,2,3,3,3,2,2,3,4,3,2,4,Different places and spots in London that is outside of my borough
Non-binary/Third gender,,16,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,5,Two,Train,,Not sure,,,Not sure,Freedom,5,5,1,1,3,5,1,1,1,2,3,1,3,My mum
Male,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,No,Freedom to go places,4,3,2,4,2,1,1,1,4,3,2,1,3,
Male,,17,Yes,Asian or Asian British – Pakistani,,No,No,No,Dissaprove,5,One,Bus,,Yes,Walk,,No,Important,5,2,4,2,3,2,1,1,2,4,1,5,2,Leisure Centres
Male,,17,Yes,White British,,No,No,No,Dissaprove,4,Two,Train,,Not sure,,,No,Freedom to move,4,1,3,4,4,1,5,5,4,5,5,3,2,Places far from me in london
Male,,16,Yes,Any other White background,,Yes,No,Yes,Dissaprove,5,One,Bus,,Yes,,Skateboarding ,No,To get to the place quick,1,3,4,4,1,1,1,1,5,5,5,5,5,Nowhere
Male,,16,Yes,Mixed - White and Black African,,No,Yes,Yes,Dissaprove,5,Two,Tube,,Yes,Tube,,Yes,It determines everything,5,5,3,2,5,2,1,1,3,5,1,4,3,College
Male,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,One,Bus,,No,,,No,Means less expense for parents for their own kids,4,1,3,4,5,2,4,4,3,2,3,3,4,Shopping centres
Male,,16,Yes,Mixed - White and Asian,,No,No,Yes,Dissaprove,4,Two,,bus and tube,Yes,Cycle,,No,easier to go out and go to school,4,2,5,2,1,1,4,4,2,5,3,2,5,to the beach with my friends
Male,,16,Yes,Black or Black British - Black African,,Prefer not to say,Yes,No,Don't know,4,One,Bus,,Not sure,,,Not sure,More money spent,5,5,4,3,5,4,3,3,3,3,3,3,4,Church
Male,,17,Yes,Asian or Asian British – Indian,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,It means a lot as at our age we don’t have money to pay for travel so it helps us get around without losing so much money.,4,4,3,3,4,4,1,1,4,4,1,4,3,General areas that are further than 15-20 minute walks away.
Female,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,Yes,Free travel means not worrying about how I will have to get to school in the morning. Free travel means giving children the freedom to explore parts of their own city without having to worry about money.,5,4,1,4,3,4,2,2,4,4,2,3,3,To see friends. Restaurants.
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,One,Train,,Yes,Walk,,No,Freedom,4,3,4,2,1,3,2,1,3,5,3,2,4,My girlfriend
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,No,Having the ability to use the buses without having to pay,4,2,5,3,3,1,2,2,4,5,5,3,4,Restaurant
Female,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,No,,4,3,2,1,5,1,2,2,4,4,1,2,3,
Male,,17,Yes,White British,,Prefer not to say,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,,I don't know still need to figure it out,Yes,It means I can get from home to college and work without having to struggle for money in an economic low were little to no one has money,5,5,3,1,5,5,2,1,1,3,2,4,4,College
Female,,17,Yes,Mixed - White and Asian,,No,Prefer not to say,Yes,Dissaprove,4,Two,Bus,,Yes,Walk,,Yes,It means I have the chance to take every opportunity that is presented to me,3,3,5,3,4,3,2,3,4,3,4,1,3,I would not be able to go on journeys around my city
Male,,17,Yes,White British,,No,Yes,No,Dissaprove,5,Two,Bus,,Yes,Cycle,,No,It makes everything quicker and easier.,4,2,3,2,2,1,2,2,3,3,3,3,4,Going down to the shops to buy food. Places that only require a small bus ride would have to be scrapped
Female,,16,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,Free transport I don’t really need to care about how much money I am spending and I have my freedom to go anywhere I want,5,4,1,1,5,2,1,4,5,5,5,4,5,I wouldn’t go East anymore to see my family
Male,,17,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,Crucial,5,5,4,3,5,2,2,2,3,4,3,3,4,Family member house
Female,,16,Yes,White British,,No,No,Yes,Dissaprove,5,One,Walk,,No,,,Yes,Easy,5,2,2,4,1,4,3,4,4,3,2,3,5,To central London
Male,,16,Yes,White British,,No,Prefer not to say,Yes,Dissaprove,5,Two,Bus,,Yes,Cycle,,Yes,Being able to travel to school etc,4,3,5,1,4,1,3,3,3,4,4,4,5,Friends and family also green spaces / parks
Male,,17,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Tube,,No,,,No,Being able to have my life,5,4,4,2,4,5,2,2,3,3,2,2,2,Place of worship
Male,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,4,One,Bus,,Yes,Walk,,Yes,,5,5,5,2,4,2,2,2,4,4,5,5,4,Barbers
Female,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,free travel allows us children who aren’t as privileged to afford travel get to and from places easier,5,4,2,1,5,3,1,1,2,2,1,2,2,youth clubs
Male,,16,Yes,Prefer Not to Say,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,You don't have to pay,4,5,3,2,4,3,1,1,1,2,2,2,2,I couldn't go to my job
Male,,16,Yes,White British,,No,No,No,Dissaprove,4,Two,Tube,,Yes,Cycle,,No,It means that I can easily get to the places  I want such as collage or to a friends house (though not right now because of quarantine),5,3,4,3,2,1,2,2,3,4,2,3,4,I play Pokémon go free public transport allows me to easily go to the best places
Male,,18,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,4,One,Bus,,No,,,No,An easier means of getting somewhere,4,3,4,4,2,1,3,3,5,5,4,3,4,Nowhere
Male,,16,Yes,White British,,No,Yes,No,Dissaprove,5,Three,Train,,Yes,Train,,No,Free travel makes me not mind getting up in the morning thinking do i have enough money before i go to school,4,3,3,3,4,3,2,2,5,2,2,3,3,To stadiums
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,4,Two,Walk,,No,,,No,"Gives freedom to be able to travel for leisure purposes but it will reduce my social ability, as seeing friends of travelling to motives will be put off because we have to think about money for the bus.",4,2,2,3,1,3,1,1,3,3,2,2,3,Gym
Male,,16,Yes,Prefer Not to Say,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Cycle,,Not sure,Free transport help me a lot cause I don’t have a lot of money,3,4,3,2,4,3,2,2,4,3,4,4,3,Friends and shopping
Male,,17,Yes,,Arab,No,Yes,No,Dissaprove,5,Three,Train,,Yes,,Mum dropping me off,Yes,Us not paying for tfl,5,5,1,3,5,2,3,3,2,2,3,2,3,"My education,shopping centre,central london,around london"
Male,,16,Yes,Asian or Asian British – Indian,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,relieving,4,4,3,1,5,3,1,1,3,4,2,2,3,football
Male,,16,Yes,Black or Black British – Black Caribbean,,No,Prefer not to say,Yes,Dissaprove,4,Two,Bus,,Not sure,,,Not sure,I always know no matter what i can find my to school or to my home,4,5,3,3,4,2,2,2,4,3,3,4,5,N/A
Male,,16,Yes,Mixed - White and Asian,,No,Prefer not to say,Yes,Dissaprove,5,One,Bus,,Yes,,Car,No,Ability to go to school easily,5,2,3,3,2,2,1,1,3,3,2,2,3,Everywhere
Female,,16,Yes,Mixed - White and Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Bus,,Not sure,That it’s helping deprived families give opportunities to let their child’s go plqces and attend schools because a lot ignored good schools are local in the city of London so a lot or 16+ have to travel way further just be rob succeed in life which is personally what I do I don’t know how on earth I could get school after this and how much money my single parent will lose for me let alone,5,5,3,1,5,4,1,1,4,2,5,5,2,"Meeting, volunteering,programs,work experience"
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Sense of security,5,5,3,2,5,3,3,3,1,2,1,2,3,Libaries
Male,,17,Yes,Asian or Asian British – Indian,,No,Yes,Yes,Dissaprove,5,One,Walk,,Yes,Cycle,,Not sure,Crucial,4,4,5,3,3,2,4,1,4,4,3,4,3,Good areas for photography such as central London or even Zoo's
Male,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,4,Two,Bus,,No,,,Not sure,Opportunity,5,3,1,3,5,2,2,2,3,3,1,4,4,Central London
Male,,17,Yes,White British,,No,Prefer not to say,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,Education,5,5,1,2,4,4,1,1,3,3,2,2,1,School
Male,,16,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Cycle,,Yes,Safety,4,4,4,2,2,3,4,5,4,3,2,3,3,Library
Male,,16,Yes,Any other White background,,No,Yes,No,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Good,5,2,1,5,2,1,3,2,5,5,4,5,5,Other areas
Male,,16,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Two,Bus,,Not sure,,,No,It means I get to school with no hassle,4,2,1,5,3,1,1,1,2,1,1,2,3,Anywhere
Male,,18,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,Two,Train,,Yes,Walk,,Yes,"Freedom to be able to travel around the city without having to rely on parents, also the first stage in growing up and taking responsibility of yourself",5,5,2,2,5,5,1,1,2,2,1,1,1,School
Male,,16,Yes,White British,,No,Yes,Yes,Dissaprove,4,Three,Bus,,Yes,Bus,,Yes,Helps me,3,5,2,2,3,1,2,2,3,4,2,3,4,Far mates
Male,,17,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Bus,,Not sure,an opportunity to get to where I need to be without spending too much money,5,3,2,4,3,4,2,2,4,2,1,2,3,Libraries
