What is your gender?,Other,How old are you?,Do you live in London?,How would you describe your ethnicity?,Other,Do you consider yourself to have a disability?,Are you a care experienced person?,Did you hear that the government is planning to cut free travel for under-18s in London?,Do you approve or disapprove the decision to cut free travel for under-18s in London?,How important is free transport in London for you?,How many buses / tubes / trams do you currently take to get to school or college?,How do you get to school or college?,Other,"If you have to pay for transport, will it change how you get to school or college?","If you have to pay for transport, how are you planning to get to school or college?",Other,"If you lose free travel, would this change the college or school you are considering attending?","Please describe what free transport means to you in a word, or words?","“If I lose free travel, I won’t travel out of my area as much unless I have to”","“If I lose free travel, I am worried getting to school/around London is less safe”","“If I lose free travel, I will cycle instead to the places I want to go”","“If I lose free travel, I can still afford to go to the places I want to go to”","“If I lose free travel, I am worried my parents will struggle to make ends meet”","“If I lose free travel, my mental health with suffer”",Museums ,Art galleries,Shopping centres,Parks and green spaces ,Areas outside your local borough or area,Sports clubs,Friends and family ,"Where else would you visit less than you do now, if you had to pay for travel?"
Female,,16,Yes,Any other White background,,No,Yes,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Important for youth,5,5,2,1,5,5,1,1,3,2,1,1,3,Family members and extracurricular activities
Male,,17,Yes,Black or Black British – Black Caribbean,,No,Prefer not to say,Yes,Dissaprove,5,Two,Train,,Yes,,No school,Yes,Very important because we need transport every day to go out to do our needs,3,5,1,2,4,3,2,2,4,2,3,3,4,Friends house
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,"free transport allows me to get to school and back, to learn without having to pay.",4,4,4,1,5,4,1,1,4,4,2,3,4,i would never really visit any places other then where i need to go
Male,,16,Yes,White British,,No,Yes,No,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,Free travel motivates me to leave my house knowing that i wont have to worry about the fair,5,5,3,2,2,3,2,2,5,4,2,2,3,Work
Male,,16,Yes,,Bulgarian ,No,No,Yes,Approve,4,One,Bus,,Not sure,,,Yes,It means I wouldn’t have to worry about having money in the account and I can just travel to school easier,3,3,1,3,3,2,1,2,3,4,2,3,4,Anywhere outside my area
Male,,16,Yes,Any other White background,,No,Yes,Yes,Dissaprove,4,One,Bus,,No,,,Yes,It means quick and easy transport around London to places I need to go,4,4,5,3,1,2,3,4,4,5,2,2,5,Friends houses
Male,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,No,Dissaprove,4,Two,Bus,,Yes,Walk,,Yes,Its makes it a lot easier to get around places especially interviews and such and a new collage I'm planning to go away is pretty far so it would definitely change my mind if I didnt have free travel,5,5,1,2,5,3,1,1,4,3,2,2,2,To look around at landmarks in london or better parks that are further away
Male,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Cycle,,Not sure,Effective,4,2,5,2,3,3,1,1,4,4,3,4,4,Outside London
Male,,16,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Approve,5,One,Train,,Not sure,,,No,useful,4,2,1,4,3,2,2,2,5,5,5,5,5,
Male,,18,Yes,Any other White background,,Prefer not to say,No,Yes,Dissaprove,4,Two,Bus,,Not sure,,,No,Not being a burden on my family's finances for having the audacity to go to school,3,2,3,4,2,1,3,4,4,5,3,2,4,Central London in general
Male,,17,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,Go on transportation for free,4,4,3,3,3,3,2,2,4,3,2,1,4,School
Male,,18,Yes,Any other White background,,No,Prefer not to say,No,Dissaprove,5,More than three,Bus,,Yes,Bus,,No,A chance that the uk transport allowes me to chase my dreams and goals. and keeping the money for something more usefull. Such as food after a good school training session.,5,5,2,2,5,3,2,2,5,3,3,4,4,Museums and london central
Male,,18,Yes,Black or Black British – Black Caribbean,,Prefer not to say,Yes,Yes,Dissaprove,5,More than three,Train,,Yes,,Possible buying a car ,Not sure,Transport means socializing most kids now rather stay at home and play on their Xbox but If they do cut free transport it will give them more of a reason. They also won't be able to go the fun places or even the cinema without the journey costing them,5,4,3,2,4,2,1,1,3,3,3,3,3,It would just make me reassure myself if I actually need to go anywhere and I don't think it's acceptable I child should have to think about going out
Male,,17,Yes,Mixed - White and Asian,,No,No,No,Dissaprove,5,One,Bus,,Not sure,,,Not sure,Freedom,3,4,3,3,4,4,5,5,1,5,5,5,5,Friends
Male,,16,Yes,Black or Black British - Black African,,No,No,No,Dissaprove,5,One,Bus,,Yes,Walk,,Not sure,Freedom,5,4,1,3,5,1,1,1,3,2,1,3,4,A lot of places
Male,,16,Yes,Black or Black British – Black Caribbean,,No,No,Yes,Dissaprove,4,One,Bus,,Not sure,,,Not sure,Free transport means that I can travel to places that are necessary for me to go to without having to pay,4,4,1,2,4,3,2,2,3,2,3,1,4,Greater London
Male,,16,Yes,Asian or Asian British – Indian,,No,No,Yes,Don't know,4,One,Walk,,Not sure,,,No,Free transport will help others to go to there destination,3,4,3,3,5,4,1,1,5,5,5,5,4,Home
Male,,17,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,4,One,Cycle,,Yes,Cycle,,No,Freedom of movement,3,3,4,3,3,3,4,3,4,5,4,5,5,Freinds who live further
Male,,18,Yes,Black or Black British - Black African,,No,Yes,Yes,Don't know,5,Three,Bus,,Yes,Train,,Yes,It means a lot to me because it helps me a lot in a way how to get to college and I’m happy about that,5,3,4,4,5,1,4,5,5,5,4,5,4,Central London
Male,,17,Yes,Black or Black British – Black Caribbean,,No,Yes,No,Dissaprove,5,One,,Car,No,,,No,It allows me to get where i want to be faster,3,5,1,3,4,1,3,3,4,4,1,4,4,Clubs
Male,,16,Yes,Asian or Asian British - Any other Asian background,,Prefer not to say,No,Yes,Dissaprove,5,One,Walk,,No,,,No,Very useful when sent on errands by people in my house and for visiting attractions and sorts,2,1,4,5,1,1,5,5,5,5,5,5,5,Can't really think of a place
Male,,16,No,Any other White background,,No,No,No,Dissaprove,4,More than three,Bus,,Yes,Walk,,No,Being able to travel to the school or college that I am attending and saving the money that I’d use on bus to buy things I need for school,3,2,3,3,4,1,4,3,4,4,4,4,4,Different towns
Male,,17,Yes,Mixed - White and Black Caribbean,,Prefer not to say,Yes,No,Dissaprove,4,Two,Train,,Yes,Bus,,Yes,It allows me as a teenage to experience travelling in a learning and understanding of my surrounding and travel so it helps with when mistakes do happen it won’t be on me but would learn them.free travel means learning to experience fee travel,4,3,3,4,3,3,3,2,3,3,4,3,4,Friend's outside London
Male,,17,Yes,White British,,No,No,Yes,Dissaprove,4,One,Bus,,Not sure,,,No,It means there is less financial strain on my family,5,4,2,3,5,4,3,2,1,3,4,1,3,Concerts
Male,,18,Yes,Asian or Asian British – Bangladeshi,,No,Prefer not to say,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Not sure,Transportation,5,4,3,4,4,5,4,2,1,2,3,2,2,School
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Cycle,,Not sure,"Free transport Is essential, as it would take me school, without it, it would affect how I'd reach school.",5,4,4,3,2,3,1,1,2,3,2,3,4,"To meet my friends, to parties"
Male,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,4,Two,Bus,,Yes,Cycle,,Yes,Ability to move around freely,4,3,4,3,4,3,2,2,3,5,2,3,4,Friends
Male,,16,Yes,Any other Mixed background,,Yes,No,Yes,Dissaprove,5,Two,Train,,Yes,Cycle,,Yes,Free travel is very important because some young people parents or careers can not afford to pay for travel every day,5,5,1,1,5,5,3,1,5,5,3,2,5,School
Male,,17,Yes,Asian or Asian British – Bangladeshi,,No,No,Yes,Dissaprove,5,Two,Bus,,Not sure,,,Yes,It means that I can get to college on time and would mean that I don't have to spend money that I don't have,2,4,1,1,2,3,1,1,2,2,2,2,3,
Male,,17,Yes,,Latino/South American ,No,Yes,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Free transport is every teenager’s way of travelling and saving money for your future. If we have no free transport most won’t be able to afford to go college,3,5,3,1,5,5,2,1,3,4,3,2,1,"Family, friends, school, doctors and lessiure"
Male,,17,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Tube,,Yes,I can get somwhere quick and worry free,4,3,5,4,4,5,2,4,5,3,4,5,4,Central London
Male,,17,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Three,Train,,Yes,Train,,No,Large positive impact on families especially ones that may struggle with money.,5,3,2,2,4,1,1,1,4,4,1,3,4,I would even stop going to local shops
Male,,18,Yes,Asian or Asian British - Any other Asian background,,No,No,No,Dissaprove,5,One,Bus,,Yes,,Cab,No,Helpful,4,5,2,4,3,2,2,1,4,3,4,4,5,International
Male,,17,Yes,Black or Black British – Black Caribbean,,No,Yes,Yes,Don't know,5,Two,Bus,,Not sure,,,No,You can go anywhere without putting money in your oyster,3,4,1,3,3,4,3,5,3,3,1,1,4,I don’t know
